UWI,Operator - On Record,End Completion Date,Field,Completed Zone,Dir,Open or Cased,Technology,Status,AFE Drilling Cost (K$),Total End Completion Costs (K$),# Days,Est Problem Time (%),Base Fluid,Load Fluid (m3),Load Fluid Rec (m3),Stimulation Fluid,Stim Company - On Record,Frac Report,Stages Attempted (#),Stages Actual (#),Completed Length (m),Avg Frac Spacing (m),Total Proppant Design (t),Total Proppant Placed (t),Avg Fluid Pumped per Stage (m3),Total Fluid Pumped (m3),6 mo Cal Gas Rate (mcf/d),12 mo Cal Gas Rate (mcf/d),12 Mo Cum Prod Gas (mmcf),6 mo Cal Oil Rate (bopd),12 mo Cal Oil Rate (bopd),6 Mo Cum Prod  Oil (mbo),12 Mo Cum Prod Oil (mbo),Job Objective,AFE Completion Cost (K$)
00/16-07-060-19W5/0,Trilogy Energy,3/21/2009,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,"2,062","1,272",21,,Oil,,,Unknown,Calfrac,3 - No Report,,7,,,70,70,39,273,666,361,291,0,0,,,7 x 10t/stage Oil Frac,"1,238"
00/03-08-060-19W5/0,Celtic Exploration Ltd.,3/9/2010,Kaybob South,Montney,H,Open,BH (FracPoint),GAS,"2,101",869,26,,Oil,,,Unknown,Canyon,3 - No Report,,13,,,273,273,49,636,"1,934",974,642,0,0,,,13 x 21t/stage N2 Oil Frac,"1,375"
00/04-08-060-19W5/0,Celtic Exploration Ltd.,2/25/2008,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,"1,700","1,590",11,,Oil,,,TWS-Gelled HC,Trican,3 - No Report,,7,,,217,217,90,632,"2,542","1,438",986,0,0,,,7 x 31t/stage TWS-Gelled HC Frac,"1,518"
00/15-08-060-19W5/0,Celtic Exploration Ltd.,1/20/2008,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,"1,573",647,10,,Oil,,,TWS-Hydrocarbon HP,Trican,3 - No Report,,5,,,105,105,65,326,935,612,387,0,0,,,5 x 21t/stage TWS-Hydrocarbon HP Frac,980
00/04-09-060-19W5/0,Orleans Energy,9/24/2008,Kaybob South,Montney,H,Open,PP (StackFRAC),GSUP,,"1,158",10,,Oil,,,CWS-Dynagel-H2,Calfrac,3 - No Report,,6,,,175,175,63,380,,,,,,,,1 x 25t + 5 x 30t/stage N2 CWS-Dynagel-H2 Frac,
00/10-09-060-19W5/0,Orleans Energy,11/15/2007,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,,"1,458",38,,Oil,,,CWS-Dynagel-H2,Calfrac,3 - No Report,,5,,,150,150,64,318,"1,418",364,599,0,0,,,5 Stage 150t N2 CWS-Dynagel-H2 Frac,
00/01-10-060-19W5/0,Celtic Exploration Ltd.,7/8/2008,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,"2,158","1,016",20,,Oil,,,TWS-Gelled HC,Trican,3 - No Report,,7,,,112,112,52,364,797,394,318,0,0,,,7 x 16t/stage TWS-Gelled HC Frac,"1,530"
00/04-10-060-19W5/0,Celtic Exploration Ltd.,6/22/2008,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,"1,788",424,7,,Oil,,,TWS-Gelled HC,Trican,3 - No Report,,5,,,105,105,63,316,517,348,260,0,0,,,5 x 21t/stage TWS-Gelled HC Frac,"1,201"
00/09-10-060-19W5/0,Celtic Exploration Ltd.,11/18/2009,Kaybob South,Montney,H,Open,BH (FracPoint),GAS,"2,232",748,7,,Oil,,,TWS-Gelled HC,Trican,3 - No Report,,11,,,231,231,57,628,"1,760","1,041",658,0,0,,,11 x 21t/stage N2 TWS-Gelled HC Frac,900
00/13-10-060-19W5/0,Celtic Exploration Ltd.,9/10/2006,Kaybob South,Montney,D,Cased,Single Stage Frac,GABN,,386,6,,Oil,,,Unknown,Trican,3 - No Report,,1,,,17,17,76,76,33,129,71,0,0,,,1 x 17t Oil Frac,
00/15-10-060-19W5/2,Celtic Exploration Ltd.,6/18/2008,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,"1,487",505,95,,Oil,,,TWS-Gelled HC,Trican,3 - No Report,,5,,,105,105,55,273,"1,311",689,505,0,0,,,5 x 21t/stage TWS-Gelled HC Frac,925
00/04-11-060-19W5/0,Orleans Energy,10/15/2008,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,,"1,290",14,,Oil,,,CWS-Dynagel-H2,Calfrac,3 - No Report,,7,,,140,140,65,458,"1,826","1,271",759,0,0,,,7 x 20t/stage N2 CWS-Dynagel-H2 Frac,
00/07-11-060-19W5/2,Orleans Energy,4/1/2009,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,"2,666",801,15,,Oil,,,CWS-Dynagel-H2,Calfrac,3 - No Report,,7,,,160,160,58,406,"1,026",631,356,0,0,,,7 x 23t/stage N2 CWS-Dynagel-H2 Frac,
02/11-11-060-19W5/0,Orleans Energy,,Kaybob South,Montney,H,Open,None,DRABN,,,1,,,,,,None,3 - No Report,,,,,,,,,,,,,,,,Abandon while drilling,
00/16-11-060-19W5/0,Orleans Energy,4/1/2009,Kaybob South,Montney,H,Open,PP (StackFRAC),GSUP,,719,8,,Oil,,,CWS-Dynagel-H2,Calfrac,3 - No Report,,8,,,160,160,53,421,762,390,309,0,0,,,8 x 20t/stage N2 CWS-Dynagel-H2 Frac,
00/08-13-060-19W5/0,Orleans Energy,3/9/2010,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,,"1,130",14,,Oil,,,CWS-Dynagel-H2,Calfrac,3 - No Report,,11,,,140,140,40,442,"1,548",695,642,0,0,,,11 Stage 140t N2 CWS-Dynagel-H2 Frac,
00/09-13-060-19W5/0,Orleans Energy,11/22/2010,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,,787,377,,Oil,,,CWS-Dynagel-H2,Calfrac,3 - No Report,,11,,,205,205,47,518,"1,109",704,515,0,0,,,11 Stage 205t N2 CWS-Dynagel-H2 Frac,
00/01-15-060-19W5/0,RMP Energy,11/14/2014,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,,"2,260",39,<10%,Oil,"1,081",94,CWS-Dynagel-H2,Calfrac,1 - Report w Charts,23,23,"1,194",54,330,330,47,"1,086","2,018","1,950",820,0,0,,,19 x 15t/stage + 4 x 10t/stage N2 CWS-Dynagel-H2 Frac,"2,540"
00/04-15-060-19W5/0,Orleans Energy,11/16/2009,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,,855,18,,Oil,,,CWS-Dynagel-H2,Calfrac,3 - No Report,,11,,,190,190,47,517,"2,650","1,672",940,0,0,,,11 Stage 190t N2 CWS-Dynagel-H2 Frac,
00/12-15-060-19W5/0,Orleans Energy,1/29/2007,Kaybob South,Montney,V,Cased,Single Stage Frac,GAS,,582,16,,Oil,,,TWS-Gelled HC,Trican,3 - No Report,,1,,,48,48,,,"2,091","2,497",777,0,0,,,1 x 48t TWS-Gelled HC Frac,
00/03-16-060-19W5/2,Celtic Exploration Ltd.,8/19/2009,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,"2,416",814,,,Oil,,,TWS-Gelled HC,Trican,3 - No Report,,11,,,231,231,61,672,"2,522","1,595",842,0,0,,,11 x 21t/stage TWS-Gelled HC Frac,
00/08-16-060-19W5/0,Celtic Exploration Ltd.,8/28/2009,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,"2,668",817,27,,Oil,,,TWS-Gelled HC,Trican,3 - No Report,,11,,,231,231,60,664,"2,907","2,015",892,0,0,,,11 x 21t/stage TWS-Gelled HC Frac,"1,000"
00/12-16-060-19W5/0,Celtic Exploration Ltd.,7/13/2007,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,"1,179",914,9,<10%,Oil,311,95,TWS-Gelled HC,Trican,3 - No Report,5,5,786,180,100,100,57,283,"2,921","1,791","1,122",0,0,,,5 x 20t/stage TWS-Gelled HC Frac,941
02/13-16-060-19W5/0,Celtic Exploration Ltd.,,Kaybob South,Montney,H,Open,None,DRABN,,,1,,,,,,None,3 - No Report,,,,,,,,,,,,,,,,Abandoned during drilling,
00/01-17-060-19W5/0,Celtic Exploration Ltd.,3/11/2008,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,"1,613","1,253",5,,Oil,,,TWS-Gelled HC,Trican,3 - No Report,,7,,,217,217,86,599,"2,405","1,470",975,0,0,,,7 x 31t/stage TWS-Gelled HC Frac,"1,518"
02/02-17-060-19W5/0,Celtic Exploration Ltd.,8/14/2011,Kaybob South,Montney,H,Open,Ball & Seat,GAS,"2,412","1,319",19,,Oil,,,Unknown,Canyon,3 - No Report,,12,,,,,60,725,757,277,327,0,0,,,12 x Stage N2 Oil Frac,"1,275"
00/03-17-060-19W5/0,Celtic Exploration Ltd.,9/29/2009,Kaybob South,Montney,H,Open,BH (FracPoint),GAS,"2,394",735,13,,Oil,,,TWS-Hydrocarbon HP,Trican,3 - No Report,,11,,,231,231,67,736,979,763,359,0,0,,,11 x 21t/stage TWS-Hydrocarbon HP Frac,"1,000"
00/04-18-060-19W5/0,Celtic Exploration Ltd.,2/20/2009,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,"3,288",870,14,<10%,Oil,719,403,TWS-Gelled HC,Trican,3 - No Report,11,11,"1,324",128,231,231,65,719,"3,003","1,742","1,201",0,0,,,11 x 21t/stage TWS-Gelled HC Frac,"1,165"
00/05-18-060-19W5/2,Celtic Exploration Ltd.,2/23/2010,Kaybob South,Montney,H,Open,TRY (Multi-StageFrac),GAS,"2,158","1,260",13,,Oil,,,Unknown,Canyon,3 - No Report,,15,,,315,315,50,755,"1,802",930,676,0,0,,,15 x 21t/stage N2 Oil Frac,"1,480"
00/08-18-060-19W5/0,Celtic Exploration Ltd.,,Kaybob South,Montney,H,Open,None,DRABN,,,1,,,,,,None,3 - No Report,,,,,,,,0,,,,,,,,Abandon while drilling,
00/09-18-060-19W5/0,Celtic Exploration Ltd.,11/26/2007,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,"1,537","1,332",11,,Oil,,,TWS-Gelled HC,Trican,3 - No Report,,7,,,147,147,67,469,"1,638",844,549,0,0,,,7 x 21t/stage TWS-Gelled HC Frac,"1,130"
00/06-19-060-19W5/0,Celtic Exploration Ltd.,5/23/2006,Kaybob South,Montney,V,Cased,Single Stage Frac,STAN,"1,047",372,9,,Oil,,,Unknown,Trican,3 - No Report,,1,,,35,35,80,80,,,,,,,,1 x 35t Oil Frac,
00/13-19-060-19W5/2,Celtic Exploration Ltd.,11/28/2007,Kaybob South,Montney,H,Open,PP (StackFRAC),STAN,"1,090",922,7,,Oil,,,Unknown,Trican,3 - No Report,,2,,,103,103,121,242,,,,,,,,2 x 52t/stage Oil Frac,"1,025"
00/16-19-060-19W5/0,Celtic Exploration Ltd.,4/2/2008,Kaybob South,Montney,H,Open,PP (StackFRAC),GSUP,"1,744","1,504",11,,Oil,,,TWS-Gelled HC,Trican,3 - No Report,,7,,,217,217,88,619,404,422,183,0,0,,,7 x 31t/stage TWS-Gelled HC Frac,"1,617"
00/08-20-060-19W5/0,Celtic Exploration Ltd.,7/10/2008,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,"2,172",529,10,,Oil,,,TWS-Gelled HC,Trican,3 - No Report,,7,,,132,132,59,411,750,440,270,0,0,,,4 x 21t/stage + 3 x 16t/stage TWS-Gelled HC Frac,"1,530"
02/13-20-060-19W5/0,Celtic Exploration Ltd.,9/22/2009,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,"2,538",760,41,,Oil,,,TWS-Gelled HC,Trican,3 - No Report,,11,,,231,231,61,672,339,351,181,0,0,,,11 x 21t/stage TWS-Gelled HC Frac,983
03/13-20-060-19W5/0,Celtic Exploration Ltd.,9/29/2009,Kaybob South,Montney,H,Open,BH (FracPoint),GSUP,"2,286",691,11,,Oil,,,TWS-Hydrocarbon HP,Trican,3 - No Report,,11,,,231,231,63,696,350,271,148,0,0,,,11 x 21t/stage TWS-Hydrocarbon HP Frac,"1,000"
02/01-21-060-19W5/0,Celtic Exploration Ltd.,9/6/2010,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,"2,719","1,018",15,,Oil,,,Unknown,Canyon,3 - No Report,,12,,,372,372,62,739,"2,077","1,602",904,0,0,,,12 x 31t/stage N2 Oil Frac,"1,300"
02/15-21-060-19W5/0,Celtic Exploration Ltd.,9/29/2009,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,"2,645",703,59,,Oil,,,TWS-Gelled HC,Trican,3 - No Report,,11,,,231,231,57,626,"3,257","2,210",974,0,0,,,11 x 21t/stage TWS-Gelled HC Frac,983
00/04-22-060-19W5/0,Orleans Energy,8/6/2008,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,,"1,447",40,,Oil,,,CWS-Dynagel-H2,Calfrac,3 - No Report,,6,,,180,180,62,369,"2,888","2,285",968,0,0,,,6 Stage 180t N2 CWS-Dynagel-H2 Frac,
02/10-22-060-19W5/0,Orleans Energy,3/15/2007,Kaybob South,Montney,V,Cased,Single Stage Frac,GAS,,497,7,,Oil,,,TWS-Gelled HC,Trican,3 - No Report,,1,,,40,40,107,107,"1,379","1,833",673,0,0,,,1 x 40t TWS-Gelled HC Frac,568
00/13-22-060-19W5/0,Orleans Energy,8/22/2008,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,,"2,207",60,,Oil,,,CWS-Dynagel-H2,Calfrac,3 - No Report,,6,,,200,200,79,473,"1,231","1,562",610,0,0,,,2 x 40t/stage + 4 x 30t/stage N2 CWS-Dynagel-H2 Frac,
00/16-22-060-19W5/0,RMP Energy,11/9/2014,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,,"2,660",30,10-30%,Oil,"1,081",94,CWS-Dynagel-H2,Calfrac,1 - Report w Charts,23,23,"1,195",54,345,345,49,"1,120","1,222","1,760",524,0,0,,,23 x 15t/stage N2 CWS-Dynagel-H2 Frac,"2,540"
00/01-23-060-19W5/0,Orleans Energy,4/2/2008,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,,"1,071",15,,Oil,,,CWS-Dynagel-H2,Calfrac,3 - No Report,,5,,,150,150,61,304,"2,434","1,236",697,0,0,,,5 Stage 150t N2 CWS-Dynagel-H2 Frac,
00/13-23-060-19W5/0,Orleans Energy,4/10/2008,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,,"1,096",11,,Oil,,,CWS-Dynagel-H2,Calfrac,3 - No Report,,6,,,130,130,50,301,"1,457",862,494,0,0,,,6 Stage 130t N2 CWS-Dynagel-H2 Frac,
00/16-23-060-19W5/0,Orleans Energy,3/30/2010,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,,868,23,,Oil,,,CWS-Dynagel-H2,Calfrac,3 - No Report,,12,,,120,120,34,413,"1,316",666,493,0,0,,,12 Stage 120t N2 CWS-Dynagel-H2 Frac,
00/01-24-060-19W5/2,Celtic Exploration Ltd.,9/2/2011,Kaybob South,Montney,H,Open,TRY (Multi-StageFrac),GAS,"1,825",805,10,,Oil,,,Unknown,Unknown,3 - No Report,,15,,,128,128,28,419,544,396,207,0,0,,,15 x 9t/stage N2 Oil Frac,"1,108"
00/04-24-060-19W5/0,Celtic Exploration Ltd.,9/17/2009,Kaybob South,Montney,H,Open,BH (FracPoint),GABN,"2,267",666,8,,Oil,,,TWS-Gelled HC,Trican,3 - No Report,,11,,,231,231,65,712,405,379,153,0,0,,,11 x 21t/stage TWS-Gelled HC Frac,"1,140"
00/01-26-060-19W5/0,Orleans Energy,6/12/2010,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,,665,9,<10%,Oil,237,128,CSG-Optimum HC,Canyon,3 - No Report,8,8,920,124,80,73,30,239,377,228,151,0,0,,,8 x 10t/stage N2 CSG-Optimum HC Frac,
02/03-27-060-19W5/0,Celtic Exploration Ltd.,,Kaybob South,Montney,H,Open,None,DRABN,,,1,,,,,,None,3 - No Report,,,,,,,,,,,,,,,,Abandon while drilling,
00/13-27-060-19W5/2,Celtic Exploration Ltd.,10/25/2008,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,,"1,339",21,,Oil,,,TWS-Gelled HC,Trican,3 - No Report,,7,,,237,237,91,636,"3,130","2,432",947,0,0,,,1 x 26t + 1 x 31t + 5 x 36t/stage TWS-Gelled HC Frac,"1,510"
00/16-27-060-19W5/0,Orleans Energy,6/4/2010,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,,"1,132",16,,Oil,,,Unknown,Canyon,3 - No Report,,14,,,203,203,40,558,"1,722",961,630,0,0,,,14 x 15t/stage N2 Oil Frac,
00/06-28-060-19W5/2,Celtic Exploration Ltd.,8/24/2008,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,"1,576",711,16,,Oil,,,TWS-Gelled HC,Trican,3 - No Report,,5,,,100,100,60,299,"1,262",809,475,0,0,,,1 x 16t + 4 x 21t/stage TWS-Gelled HC Frac,950
W0/13-28-060-19W5/0,Celtic Exploration Ltd.,,Kaybob South,Montney,H,Open,None,DRABN,,,1,,,,,,None,3 - No Report,,,,,,,,0,,,,,,,,Abandon while drilling,
00/15-28-060-19W5/0,Celtic Exploration Ltd.,1/27/2006,Kaybob South,Montney,V,Cased,Single Stage Frac,GSUP,921,319,5,,Oil,,,TWS-Gelled HC,Trican,3 - No Report,,1,,,40,40,81,81,225,105,110,0,0,,,1 x 40t TWS-Gelled HC Frac,
00/16-28-060-19W5/2,Celtic Exploration Ltd.,1/17/2010,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,,"1,566",30,,Oil,,,Unknown,Canyon,3 - No Report,,15,,,315,315,54,806,"1,795",927,585,0,0,,,15 x 21t/stage N2 Oil Frac,"1,200"
02/16-28-060-19W5/0,Celtic Exploration Ltd.,11/27/2010,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,"2,209","1,001",51,,Oil,,,TWS-Gelled HC,Trican,3 - No Report,,11,,,267,267,54,597,"1,457",960,611,0,0,,,11 Stage 267t N2 TWS-Gelled HC Frac,"1,300"
00/08-29-060-19W5/0,Celtic Exploration Ltd.,9/20/2007,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,"1,653","1,087",13,,Oil,,,TWS-Hydrocarbon HP,Trican,3 - No Report,,5,,,100,100,68,339,966,701,349,0,0,,,5 x 20t/stage TWS-Hydrocarbon HP Frac,969
00/13-29-060-19W5/0,Celtic Exploration Ltd.,9/28/2009,Kaybob South,Montney,H,Open,TRY (Multi-StageFrac),GAS,"2,271",622,9,,Oil,,,TWS-Gelled HC,Trican,3 - No Report,,11,,,231,231,62,680,926,492,278,0,0,,,11 x 21t/stage TWS-Gelled HC Frac,982
00/15-29-060-19W5/0,Celtic Exploration Ltd.,9/29/2009,Kaybob South,Montney,H,Open,TRY (Multi-StageFrac),GAS,"2,284",713,8,,Oil,,,Unknown,Trican,3 - No Report,,11,,,231,231,69,755,957,634,351,0,0,,,11 x 21t/stage Oil Frac,983
00/05-30-060-19W5/0,Celtic Exploration Ltd.,1/16/2009,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,"2,677","1,093",28,,Oil,,,TWS-Gelled HC,Trican,3 - No Report,,11,,,231,231,67,742,373,302,190,0,0,,,11 x 21t/stage TWS-Gelled HC Frac,"1,222"
00/15-30-060-19W5/0,Celtic Exploration Ltd.,7/5/2010,Kaybob South,Montney,H,Open,PP (StackFRAC),GSUP,"2,711","1,695",20,,Oil,,,Unknown,Canyon,3 - No Report,,20,,,420,420,56,"1,111",612,351,256,0,0,,,20 x 21t/stage N2 Oil Frac,"1,670"
00/04-32-060-19W5/0,Celtic Exploration Ltd.,9/20/2007,Kaybob South,Montney,H,Open,PP (StackFRAC),GSUP,"1,563",879,12,<10%,Oil,306,182,TWS-Gelled HC,Trican,3 - No Report,5,5,704,148,103,103,64,321,53,7,41,0,0,,,5 x 21t/stage TWS-Gelled HC Frac,969
00/04-33-060-19W5/0,Orleans Energy,10/26/2008,Kaybob South,Montney,H,Open,PP (StackFRAC),GSUP,,"1,007",11,,Oil,,,CWS-Dynagel-H2,Calfrac,3 - No Report,,5,,,125,125,69,345,434,115,137,0,0,,,5 x 25t/stage N2 CWS-Dynagel-H2 Frac,
00/01-01-060-20W5/0,Trilogy Energy,3/12/2010,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,"2,793","1,285",25,,Oil,,,Unknown,Calfrac,3 - No Report,,16,,,160,160,46,743,"2,719","1,393","1,108",0,0,,,16 x 10t/stage Oil Frac,"1,259"
02/01-01-060-20W5/0,Trilogy Energy,6/18/2015,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,,836,17,<10%,Water,856,143,CWS-CleanTech,Calfrac,1 - Report w Charts,17,17,"1,581",96,340,340,34,579,"2,534","1,364",870,0,0,,,17 x 20t/stage N2 Foamed CWS-CleanTech Frac,"1,051"
00/06-01-060-20W5/0,Trilogy Energy,2/25/2006,Kaybob South,Montney,V,Cased,Single Stage Frac,GSUP,,500,11,,Oil,,,Unknown,BJ Services,3 - No Report,,1,,,20,20,70,70,626,511,280,0,0,,,1 x 20t Oil Frac,
00/08-01-060-20W5/0,Trilogy Energy,4/7/2011,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,,"2,084",31,<10%,Oil,"1,019",138,Unknown,Unknown,3 - No Report,23,23,"1,653",75,230,230,44,"1,019","2,107","1,358","1,139",0,0,,,23 x 10t/stage N2 Oil Frac,"2,048"
02/05-02-060-20W5/2,Trilogy Energy,7/9/2013,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,"3,425","1,461",29,<10%,Oil,830,362,CWS-Dynagel-H2,Calfrac,1 - Report w Charts,18,18,"1,407",83,180,180,46,830,"2,320","1,268","1,014",0,0,,,18 x 10t/stage N2 CWS-Dynagel-H2 Frac,"1,650"
00/07-02-060-20W5/0,Trilogy Energy,3/23/2009,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,,"1,233",18,,Oil,,,Unknown,Calfrac,3 - No Report,,7,,,,,37,258,"1,105","1,040",488,0,0,,,7 x Stage Oil Frac,"1,238"
00/08-02-060-20W5/0,Trilogy Energy,,Kaybob South,Montney,H,Open,None,DRABN,,,1,,,,,,None,3 - No Report,,,,,,,,,,,,,,,,Abandon while drilling,
02/12-02-060-20W5/0,Trilogy Energy,3/24/2011,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,,"2,026",14,,Oil,,,Unknown,Unknown,3 - No Report,,21,,,210,210,55,"1,146","3,485","1,650","1,134",0,0,,,21 x 10t/stage N2 Oil Frac,"2,048"
00/13-02-060-20W5/0,Trilogy Energy,3/27/2013,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,,"1,465",15,<10%,Oil,621,77,CWS-Dynagel-H2,Calfrac,1 - Report w Charts,18,18,"1,444",81,180,181,34,621,"1,446",986,738,0,0,,,18 x 10t/stage N2 CWS-Dynagel-H2 Frac,"1,492"
00/01-06-060-20W5/0,ConocoPhillips Canada Resource Corp.,1/29/2001,Kaybob South,Montney,V,Cased,Single Stage Frac,GABN,,301,12,,Oil,,,Unknown,BJ Services,2 - Report w/o Charts,,1,,,26,26,85,85,223,173,94,0,0,,,1 x 26t Oil Frac,366
00/09-06-060-20W5/2,ConocoPhillips Canada Resource Corp.,10/28/2010,Kaybob South,Montney,H,Open,W (ZoneSelect),GAS,,,65,,Oil,,,Unknown,Schlumberger,3 - No Report,,10,,,210,210,79,794,414,269,209,0,0,,,10 x 21t/stage CO2 Oil Frac,
00/04-09-060-20W5/0,Celtic Exploration Ltd.,2/9/2010,Kaybob South,Montney,H,Open,TRY (Multi-StageFrac),GAS,"2,395","1,271",20,,Water,,,Unknown,Canyon,3 - No Report,,16,,,256,256,55,884,"1,720",776,529,0,0,,,16 x 16t/stage N2 Foamed Water Frac,"1,410"
00/07-09-060-20W5/0,Celtic Exploration Ltd.,4/8/2011,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,"3,434","2,061",12,<10%,Oil,"1,158",440,CSG-Optimum HC,Canyon,3 - No Report,22,21,"2,984",142,462,446,56,"1,168",960,562,555,0,0,,,21 x 22t/stage CSG-Optimum HC Frac,"2,770"
00/01-10-060-20W5/3,Celtic Exploration Ltd.,2/23/2009,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,,919,19,<10%,Oil,408,166,TWS-Gelled HC,Trican,3 - No Report,7,7,952,153,126,112,53,368,"1,357","1,126",419,0,0,,,7 x 18t/stage TWS-Gelled HC Frac,940
00/05-10-060-20W5/0,Genesis Exploration,2/28/1998,Kaybob South,Montney,V,Cased,Single Stage Frac,GABN,,205,9,<10%,Oil,38,26,Unknown,Nowsco,1 - Report w Charts,1,1,14,,15,15,36,36,231,351,107,0,0,,,1 x 15t Oil Frac,260
00/08-10-060-20W5/0,Celtic Exploration Ltd.,4/11/2010,Kaybob South,Montney,H,Open,TRY (Multi-StageFrac),GAS,"2,277",627,12,,Oil,,,Unknown,Canyon,3 - No Report,,11,,,176,176,47,514,940,377,431,0,0,,,11 x 16t/stage N2 Oil Frac,"1,000"
00/13-10-060-20W5/0,Celtic Exploration Ltd.,4/3/2010,Kaybob South,Montney,H,Open,Ball & Seat,GSUP,"2,550",920,12,,Oil,,,Unknown,Canyon,3 - No Report,,11,,,176,176,47,515,789,407,312,0,0,,,11 x 16t/stage Oil Frac,"1,000"
00/03-11-060-20W5/0,Trilogy Energy,2/18/2009,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,,"1,335",15,,Oil,,,CWS-Dynagel-H2,Calfrac,3 - No Report,,7,,,70,70,34,240,"2,874","1,560",932,0,0,,,7 x 10t/stage CWS-Dynagel-H2 Frac,"1,330"
00/04-11-060-20W5/2,Trilogy Energy,3/30/2010,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,,"1,008",25,<10%,Oil,,189,Unknown,Unknown,3 - No Report,15,15,"1,369",98,,,,,"2,310","1,201","1,260",0,0,,,15 Stage Oil Frac,"1,276"
W0/04-12-060-20W5/0,Trilogy Energy,,Kaybob South,Montney,H,Open,,DRABN,,,1,,,,,,,3 - No Report,,,,,,,,,,,,,,,,Abandon while drilling at 2585 mKB,
00/13-12-060-20W5/0,Trilogy Energy,3/26/2011,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,,"1,973",21,,Oil,,,Unknown,Unknown,3 - No Report,,22,,,220,220,51,"1,112","3,200","1,734","1,094",0,0,,,22 x 10t/stage N2 Oil Frac,"2,048"
00/15-12-060-20W5/0,Trilogy Energy,3/15/2012,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,,"1,516",13,<10%,Oil,735,347,CWS-Dynagel-H2,Calfrac,1 - Report w Charts,18,18,"2,008",105,180,180,34,610,"3,055","1,715","1,109",0,0,,,18 x 10t/stage N2 CWS-Dynagel-H2 Frac,"1,736"
00/16-12-060-20W5/0,Trilogy Energy,2/13/2012,Kaybob South,Montney,H,Open,PP (StackFRAC),GAS,,"1,649",15,<10%,Oil,729,145,Unknown,Calfrac,3 - No Report,17,17,"1,680",98,170,169,35,595,"2,566","1,521","1,120",0,0,,,17 x 10t/stage Oil Fracs,"1,646"
00/04-15-060-20W5/2,Celtic Exploration Ltd.,4/19/2010,Kaybob South,Montney,H,Open,TRY (Multi-StageFrac),GAS,"2,550",830,20,,Oil,,,Unknown,Canyon,3 - No Report,,11,,,216,216,52,569,869,454,339,0,0,,,5 x 16t/stage + 6 x 21t/stage N2 Oil Frac,"1,000"
02/16-15-060-20W5/0,Celtic Exploration Ltd.,4/9/2010,Kaybob South,Montney,H,Open,TRY (Multi-StageFrac),GSUP,"2,544",803,12,,Oil,,,Unknown,Canyon,3 - No Report,,11,,,176,176,50,552,225,142,111,0,0,,,11 x 16t/stage N2 Oil Frac,"1,000"
