UWI,Operator - On Record,End Completion Date,Field,Completed Zone,Dir,Open or Cased,Technology,Status,AFE Drilling Cost (K$),Total End Completion Costs (K$),# Days,Est Problem Time (%),Base Fluid,Load Fluid (m3),Load Fluid Rec (m3),Stimulation Fluid,Stim Company - On Record,Frac Report,Stages Attempted (#),Stages Actual (#),Completed Length (m),Avg Frac Spacing (m),Total Proppant Design (t),Total Proppant Placed (t),Avg Fluid Pumped per Stage (m3),Total Fluid Pumped (m3),6 mo Cal Gas Rate (mcf/d),12 mo Cal Gas Rate (mcf/d),12 Mo Cum Prod Gas (mmcf),6 mo Cal Oil Rate (bopd),12 mo Cal Oil Rate (bopd),6 Mo Cum Prod  Oil (mbo),12 Mo Cum Prod Oil (mbo),Job Objective,AFE Completion Cost (K$)
00/07-05-082-21W6/0,West Energy Ltd.,2/19/2009,Heritage,Montney,H,Cased,Sand/Gel Plug/Foam,GSUP,,"3,061",25,,Water,,,BJ-Medallion,BJ Services,3 - No Report,,5,,,500,500,111,553,,,,,,,,5 x 100t/stage CO2 BJ-Medallion Frac,"2,398"
00/02-04-082-22W6/0,Crew Energy Inc.,,Other Areas,Montney,V,Open,None,STAN,,,1,,,,,,None,3 - No Report,1,,,,,,,,,,,,,,,Vertical Strat Test prior to Hz well,
00/02-05-082-22W6/2,Crew Energy Inc.,8/3/2014,Heritage,Montney,H,Open,PP (StackFRAC),GAS,,"3,487",47,<10%,Slickwater,"11,528","4,564",CSG-Optimum SW,Canyon,2 - Report w/o Charts,24,24,"1,595",69,"1,560","1,558",491,"11,781","1,993","1,340",557,0,0,,,3 x 65t/stage CSG-Optimum XG Frac + 21 x 65t/stage CSG-Optimum SW Frac,"2,600"
00/03-05-082-22W6/0,Crew Energy Inc.,8/7/2014,Heritage,Montney,H,Open,PP (StackFRAC),GAS,,"4,948",51,<10%,Slickwater,"13,470","3,965",CSG-Optimum SW,Canyon,3 - No Report,30,28,"2,141",79,"1,950","1,517",481,"13,470","2,183","1,751",642,0,0,,,7 x 65t/stage Optimum-XG Fracs + 23 x 65t/stage Optimum SW Fracs,"3,352"
00/06-18-082-22W6/0,EnCana Corporation,6/26/2005,Heritage,Montney,D,Cased,Flow-Through BP,GSUP,,"4,445",153,,Water,,,Sanjel-BORAjel,Sanjel,3 - No Report,,6,,,600,600,273,"1,638",,,,,,,,6 x 100t/stage N2 Sanjel-BORAjel Frac,"2,476"
00/08-30-082-22W6/0,Talisman Energy,12/9/2008,Heritage,Montney,V,Cased,W (Flow-Through BP),GAS,,"1,720",16,10-30%,Water,"2,702","1,293",Unknown,Schlumberger,3 - No Report,2,2,94,46,270,275,"1,351","2,702",361,157,145,0,0,,,2 x 135t/stage Water Frac,
00/03-12-082-23W6/0,Aduro Resources,9/28/2010,Monias,Montney,H,Open,PP (StackFRAC),GAS,"3,417","2,670",74,,Water,,,Unknown,Canyon,3 - No Report,,8,,,384,384,191,"1,529","1,985","2,265",695,0,0,,,8 x 48t/stage N2 Water Frac,"3,022"
00/01-34-082-23W6/0,EnCana Corporation,10/3/2005,Heritage,Montney,V,Cased,Flow-Through BP,GSUP,,"2,543",255,,Water,,,Sanjel-BORAjel,Sanjel,3 - No Report,,4,,,450,450,319,"1,277",,,,,,,,"3 x 100t/stage N2 Sanjel-BORAjel Frac, 1 x 150t Slickwater Frac",
00/15-36-082-24W6/0,Crew Energy Inc.,,Other Areas,Montney,V,Open,None,STAN,,,1,,,,,,None,3 - No Report,,,,,,,,,,,,,,,,Vertical Strat Test prior to Hz well,
00/15-11-082-26W6/0,Crew Energy Inc.,12/3/2010,Heritage,Montney,H,Cased,MAG (Flow-Through BP),OTHER,,"5,799",39,<10%,Slickwater,"7,581","3,590",CWS-600,Calfrac,3 - No Report,5,5,"1,586",336,"1,500","1,501","1,462","7,308",,,,,,,,5 x 300t/stage CWS-600 Frac,"4,102"
00/04-04-083-19W6/0,PetroBakken,,Other Areas,Montney,H,Open,None,STAN,,,1,,,,,,None,3 - No Report,,,,,,,,,,,,,,,,Abandon while drilling ,
02/06-05-083-19W6/0 (1of2),Rocor Resources,7/7/2007,Heritage,Montney,V,Cased,Single Stage Frac,GSUP,,"1,058",120,,Oil,,,BJ-Super Rheo Gel,BJ Services,3 - No Report,,1,,,62,62,158,158,23,,,0,,,,1 x 62t CO2 BJ-Super Rheo Gel Frac,777
02/06-05-083-19W6/0 (2of2),Rocor Resources,3/3/2008,Heritage,Montney,V,Open,Single Stage Frac,GSUP,,"2,836",67,,Water,,,CWS-PolyCO2,Calfrac,,,1,,,100,100,143,143,23,,,0,,,,1 x 100t CO2 CWS-PolyCO2 Frac,
00/13-05-083-19W6/2,PetroBakken,2/8/2012,Heritage,Montney,H,Open,PP (QuickFRAC),GSUP,,"4,330",347,,Slickwater,,,Unknown,Trican,3 - No Report,,7,,,"1,180","1,180",828,"5,795",212,626,137,0,0,,,5 x 154t/stage + 2 x 205t/stage Slickwater Frac,"3,386"
00/08-20-083-19W6/2,Avant Garde Energy ,4/23/2008,Heritage,Montney,H,Cased,HA (CobraMax (Sand Plug)),GSUP,"1,791","3,001",65,10-30%,Water,905,435,Unknown,Halliburton,3 - No Report,6,6,914,183,630,601,126,756,77,,,0,,,,6 x 105t/stage N2 Water Frac,"2,934"
02/11-20-083-19W6/0,Avant Garde Energy ,,Wilder,Montney,H,Open,None,STAN,,,1,,,,,,None,3 - No Report,,,,,,,,,,,,,,,,Abandon while drilling,
00/04-07-083-23W6/2,Crew Energy Inc.,8/7/2014,Montney,Montney,H,Open,W (ZoneSelect),OTHER,,"3,694",36,,Slickwater,,,CSG-Optimum SW,Canyon,1 - Report w Charts,,19,,,"1,957","1,957",773,"14,694",,,,,,,,19 x 103t/stage CSG-Optimum SW Frac,
00/05-05-083-24W6/0,Canbriam Energy,10/5/2008,Northern Montney,Montney,V,Cased,Single Stage Frac,OTHER,,449,28,,Water,,,TWS-ECO2,Trican,3 - No Report,,1,,,100,100,108,108,,,,,,,,1 x 100t CO2 TWS-ECO2 Frac,825
00/04-33-083-24W6/0,Progress Energy Resources Corp.,3/25/2015,Northern Montney,Montney,D,Cased,Mechanical Plug,GAS,,,35,<10%,Slickwater,"3,655","1,294",Unknown,Schlumberger,3 - No Report,3,3,219,100,525,526,"1,236","3,707",,,,,,,,3 x 175t/stage SLB-N2 Slickwater Frac,
00/09-09-083-25W6/0,Talisman Energy,10/31/2012,Northern Montney,Montney,H,Cased,MAG (Flow-Through BP),GAS,,,73,<10%,Slickwater,"14,120","3,127",Unknown,Trican,3 - No Report,7,7,"1,303",189,"1,980","1,988","2,006","14,043","1,838","1,407",666,0,0,,,7 x Stage 90t/Perf Cluster TWS-Slickwater Frac,
00/16-09-083-25W6/0,Talisman Energy,10/31/2012,Northern Montney,Montney,H,Cased,Flow-Through BP,GAS,,,73,<10%,Slickwater,"12,310","3,409",Unknown,Trican,3 - No Report,9,9,"1,081",123,"1,680","1,666","1,338","12,041",895,925,313,0,0,,,9 x 180t/stage Slickwater Frac,
00/12-17-083-25W6/3,Talisman Energy,12/15/2013,Northern Montney,Montney,H,Cased,Flow-Through BP,GAS,,,268,<10%,Slickwater,"19,830","8,009",Unknown,Trican,3 - No Report,9,9,"1,489",171,"2,430","2,103","2,018","18,162","1,291","1,094",387,0,0,,,9 x 270t/stage TWS-Slickwater Frac,
02/12-17-083-25W6/0,Talisman Energy,10/25/2013,Northern Montney,Montney,H,Cased,Flow-Through BP,GSUP,,,200,<10%,Slickwater,"10,261","4,435",Unknown,Trican,3 - No Report,11,4,"1,143",381,"2,090",601,"2,393","9,574",357,327,119,0,0,,,11 x 190t/stage TWS-Slickwater Frac,
00/11-18-083-25W6/3,Talisman Energy,7/17/2012,Northern Montney,Montney,H,Cased,None,OTHER,,,116,,,,,,None,3 - No Report,,,,,,,,,,,,,,,,"Perforate, Remedial Cement",
00/12-18-083-25W6/0,Talisman Energy,6/30/2012,Northern Montney,Montney,H,Cased,MAG (Flow-Through BP),GAS,,,96,,Slickwater,,,Unknown,Schlumberger,3 - No Report,,9,,,"2,250","2,250","1,789","16,105","1,919","1,615",713,0,0,,,9 x 250t/stage Slickwater Frac,
02/12-18-083-25W6/0,Talisman Energy,6/19/2012,Northern Montney,Montney,H,Cased,MAG (Flow-Through BP),GSUP,,,88,<10%,Slickwater,"14,820","7,440",Unknown,Schlumberger,3 - No Report,8,8,"1,575",208,"2,360","2,201","1,852","14,820",544,134,205,0,0,,,4 x 250t/stage + 4 x 340t/stage SLB-Slickwater Frac,
03/12-18-083-25W6/0,Talisman Energy,6/19/2012,Northern Montney,Montney,H,Cased,MAG (Flow-Through BP),GAS,,,88,10-30%,Slickwater,"14,954","5,279",Unknown,Schlumberger,3 - No Report,8,7,"1,255",236,"1,955","1,409","2,058","14,409","1,376",743,412,0,0,,,3 x 235t/stage + 5 x 250t/stage SLB-Water Frac,
00/11-19-083-25W6/0,Talisman Energy,,Altares,Montney,H,Open,None,STAN,,,1,,,,,,None,3 - No Report,,,,,,,,,,,,,,,,Abandon while drilling at 2085mKB,
00/11-19-083-25W6/2,Talisman Energy,,Altares,Montney,H,Open,None,STAN,,,1,,,,,,None,3 - No Report,,,,,,,,,,,,,,,,Abandon while drilling at 2320mKB,
